"filename", "language", "JSON with Comments", "Batch", "JavaScript", "Markdown", "XML", "Java Properties", "Vue", "Java", "JSON", "HTML", "TypeScript", "CSS", "comment", "blank", "total"
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\src\shims-vue.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\src\store\enums.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 10, 104
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\src\store\interfaces.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\src\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 8, 48
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 24
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\typings\global\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\SnakeGame\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\components\inputWindowComponent\TextInput.vue", "Vue", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 24, 12, 143
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\main.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\src\router\index.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 63
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\ChatBubble.spec.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 48
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\ChatWindow.spec.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 106
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\ChessButton.spec.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 95
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\CreateRoomDialog.spec.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 55
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\EmojiButton.spec.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\EmojiWindow.spec.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\FileUploadButton.spec.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 39
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\InputWindow.spec.js", "JavaScript", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 165
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\LoginDialog.spec.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 17, 86
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\RoomWindow.spec.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 59
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\SideBar.spec.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\TextInput.spec.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 77
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\tests\unit\TopBar.spec.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 96
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\client-side-application\vue.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\launchFrontEnd.bat", "Batch", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 17
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\server2\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 1, 19
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\server2\mvnw.cmd", "Batch", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 147
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\server2\pom.xml", "XML", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 2, 7, 89
"e:\大三下\软件工程\bighw\LAN-anonymous-chat-room-main\src\server2\src\main\java\com\example\demo1\Alservice\Assistant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
